season,season_nbr,score,polarity,subjectivity
Cambodia,31.0,24,0.15318627450980396,0.5284313725490195
Cambodia,31.0,98,0.0,0.0
Cambodia,31.0,20,0.16896167557932262,0.39204545454545453
Cambodia,31.0,30,0.09994699953346568,0.4763774153999718
Cambodia,31.0,11,0.3033333333333333,0.5016666666666667
Cambodia,31.0,14,0.03166666666666666,0.52
Cambodia,31.0,10,0.25,0.5
Cambodia,31.0,4,0.1715277777777778,0.4833333333333334
Cambodia,31.0,8,-0.06394110275689223,0.5197368421052632
Cambodia,31.0,3,0.36000000000000004,0.645
Cambodia,31.0,3,0.10583333333333331,0.6066666666666667
Cambodia,31.0,3,0.1972332015810277,0.4972990777338604
Cambodia,31.0,3,0.15000000000000002,0.7
Cambodia,31.0,7,-0.031944444444444456,0.44814814814814813
Cambodia,31.0,4,0.027110389610389612,0.4279671717171718
Cambodia,31.0,4,-0.047619047619047616,0.7285714285714286
Cambodia,31.0,3,0.18143939393939393,0.3420454545454546
Cambodia,31.0,3,0.2285714285714286,0.4047619047619048
Cambodia,31.0,4,0.0,0.0
Cambodia,31.0,4,-0.3909090909090909,0.7136363636363636
Cambodia,31.0,2,0.3,0.8
Cambodia,31.0,2,-0.05694444444444444,0.5564009661835748
Cambodia,31.0,1,0.3333333333333333,0.3666666666666667
Cambodia,31.0,1,0.26180555555555557,0.4864087301587301
Cambodia,31.0,31,-0.3333333333333333,0.6666666666666666
Cambodia,31.0,36,0.16666666666666666,0.25555555555555554
Cambodia,31.0,16,0.2625,0.38055555555555554
Cambodia,31.0,4,0.0,0.0
Cambodia,31.0,4,0.1,0.3
Cambodia,31.0,1,0.7,0.6000000000000001
Cambodia,31.0,1,-0.13999999999999999,0.44666666666666666
Cambodia,31.0,7,-0.16666666666666666,0.3666666666666667
Cambodia,31.0,3,0.35,0.38333333333333336
Cambodia,31.0,3,-0.20052083333333331,0.7005208333333333
Cambodia,31.0,0,0.0,0.0
Cambodia,31.0,9,0.25,0.25
Cambodia,31.0,1,0.0,0.0
Cambodia,31.0,3,0.08999999999999998,0.48500000000000004
Cambodia,31.0,3,-0.125,0.375
Cambodia,31.0,1,0.0,0.0
Cambodia,31.0,16,0.09970418470418471,0.5396248196248197
Cambodia,31.0,11,-0.5,1.0
Cambodia,31.0,4,0.0,0.0
Cambodia,31.0,0,0.5,0.175
Cambodia,31.0,6,-0.10500000000000001,0.34500000000000003
Cambodia,31.0,3,0.07125000000000001,0.63
Cambodia,31.0,0,0.0,0.0
Cambodia,31.0,2,0.0625,0.5
Cambodia,31.0,12,0.24166666666666664,0.3866666666666667
Cambodia,31.0,1,0.35,0.6
Cambodia,31.0,0,-0.07999999999999999,0.5333333333333334
Cambodia,31.0,1,0.0,0.0
Cambodia,31.0,0,0.0,0.0
Cambodia,31.0,0,-0.14999999999999994,0.5833333333333334
Cambodia,31.0,3,0.0,0.1
Cambodia,31.0,3,0.0,0.0
Cambodia,31.0,9,-0.16,0.5233333333333333
Cambodia,31.0,1,0.0,0.5
Cambodia,31.0,3,0.2,0.3
Cambodia,31.0,0,-0.10583333333333331,0.6174999999999999
Micronesia,16.0,32,0.30333333333333334,0.5583333333333333
Micronesia,16.0,13,0.1482456140350877,0.5315789473684212
Micronesia,16.0,12,-0.16825396825396824,0.6188492063492064
Micronesia,16.0,18,-0.13921296296296296,0.3975462962962963
Micronesia,16.0,29,0.0,0.0
Micronesia,16.0,11,0.17994791666666668,0.41128472222222223
Micronesia,16.0,5,0.3677083333333333,0.42083333333333334
Micronesia,16.0,3,0.23512396694214877,0.6504132231404959
Micronesia,16.0,3,-0.06666666666666665,0.44999999999999996
Micronesia,16.0,9,-0.7833333333333333,0.9333333333333332
Micronesia,16.0,2,0.08999999999999998,0.4033333333333333
Micronesia,16.0,2,0.34675324675324676,0.6318181818181818
Micronesia,16.0,2,0.13246031746031744,0.5306349206349207
Micronesia,16.0,2,0.2388888888888889,0.47222222222222227
Micronesia,16.0,2,0.21022727272727273,0.45454545454545453
Micronesia,16.0,2,0.17800186741363216,0.5126377217553688
Micronesia,16.0,3,0.5,1.0
Micronesia,16.0,1,0.13227794663964873,0.5333164471462345
Micronesia,16.0,1,-0.75,0.75
Micronesia,16.0,1,0.11115196078431376,0.45371732026143785
Micronesia,16.0,8,0.075,0.3
Micronesia,16.0,1,-0.6999999999999998,0.6666666666666666
Micronesia,16.0,26,0.0,0.0
